STORE_ID,STORE_NAME,REGION,Q1_TARGET,Q2_TARGET,Q3_TARGET,Q4_TARGET,ANNUAL_TARGET
E-001,Downtown Flagship,Northeast,50413.0,56868.0,61648.0,70567.0,239496.0
E-002,Beacon Hill,Northeast,68688.0,88822.0,88216.0,92302.0,338028.0
E-003,Cambridge Square,Northeast,55343.0,50724.0,54892.0,36863.0,197822.0
E-004,Harbor Plaza,Northeast,73629.0,59483.0,58180.0,72088.0,263380.0
E-005,Newbury Commons,Northeast,68162.0,82503.0,81227.0,71371.0,303263.0
E-006,Peachtree Center,Southeast,78938.0,81365.0,75736.0,92988.0,329027.0
E-007,Magnolia Park,Southeast,42965.0,53241.0,50441.0,62475.0,209122.0
E-008,Riverside Walk,Southeast,42182.0,40670.0,45847.0,35528.0,164227.0
E-009,Palmetto Station,Southeast,90245.0,85222.0,95222.0,75008.0,345697.0
E-010,Savannah Court,Southeast,93865.0,84253.0,81723.0,78125.0,337966.0
E-011,Lakefront Mall,Midwest,48249.0,53320.0,54078.0,51678.0,207325.0
E-012,Prairie View,Midwest,57398.0,61322.0,56879.0,62567.0,238166.0
E-013,Heartland Plaza,Midwest,38850.0,41175.0,45449.0,41224.0,166698.0
E-014,River North,Midwest,70839.0,97038.0,77807.0,102566.0,348250.0
E-015,Wacker Drive,Midwest,78872.0,78154.0,70643.0,80449.0,308118.0
E-016,Sunset Strip,West,39355.0,43485.0,46397.0,41823.0,171060.0
E-017,Pacific Heights,West,52532.0,50628.0,46889.0,44561.0,194610.0
E-018,Mission Bay,West,59172.0,65578.0,55209.0,63739.0,243698.0
E-019,Golden Gate,West,38824.0,51644.0,45363.0,50224.0,186055.0
E-020,Silicon Crossing,West,54925.0,52972.0,56919.0,71807.0,236623.0
